TwoClass	FourClass	ID	Text	https	http	Trump	people	police	country	America	President	Obama	Donald	state	U.S.	government	children	law	veterans	Americans	Hillary	time	day	God	Clinton	man	border	years	States	flag	world	refugees	illegals	life	immigration	nation	way	today	history	United	New	nothing	heroes	Muslims	citizens	freedom	video	war	immigrants	officer	lives	woman	officers	year	family	aliens	home	House	security	rights	media	care	benefits	times	soldiers	things	morning	men	American	school	cops	women	politicians	attack	something	news	Islam	patriots	money	terrorists	parents	city	thing	laws	criminals	Muslim	attacks	Black	child	York	wall	policy	share	right	administration	welfare	everyone	percentage	liberals	part	health	thousands	office
F	FNF	FN_FB_LGBT_166	Gosh.... Why can't the US be as cool as sims??																																																																																																				
F	FNF	FN_FB_BPAT_21	.																																																																																																				
F	FNF	FN_FB_LGBT_285	It isn't about being proud! Straight people have never had to fight for their rights. Pride is a celebration of the rights that the LGBT community has fought so hard for. If you don't understand that please look back in history going back to stonewall because obviously you are ignorant to the struggle that our community has gone through!				-3																																-1																					-2																																											
F	FNF	FN_FB_LGBT_313	Reason number 343456452367563 why I love Pinkâ¤ï¸ BTW I forgot that Pink's name isn't actually PinkðŸ˜³																																																																																																				
F	FNF	FN_FB_BPAT_493	It breaks my heart to hear how so many Vietnam vets were treated upon their return and it makes my blood boil when liberal douchebags disrespect our troops.																																																																																																				
F	FNF	FN_FB_SBORD_319	"I really donâ€™t understand this libtarded obsession with the rights of people who shouldnâ€™t be in the country in the first place, while neglecting safety and security of American people. This is unacceptable! I sincerely hope that there are no more successful Terrorist attacks on American soil. But hoping isnâ€™t enough in this case, we need to build the wall, enforce immigration law, deport illegal alien leeches, reinstate & reinforce travel ban and keep all invading scum out of the country! Better save our tax dollars for Americans than waste welfare money on possible terrorist!"				1		0									-6		-6															-6																								4	-3									3										-6								-1				-6					-6							
F	FNF	FN_FB_BLACT_384	One year of prison costs more than one year at Princeton or Harvard. So police kill us instead					-2																																														-2																																																	
F	FNF	FN_FB_BLACT_32	"PLEASE SHARE THIS VIDEO. BLACK MAN HAD TO STAND IN DEFENSE OF A DISABLED BLACK WOMAN BEING HARASSED BY RICHMOND POLICE, CA. When you`ve been pulled over for no good reason, when you`ve been harassed for no good reason, when you`ve been in handcuffs for no good reason, when you`ve been shot for no good reason, you learn not to trust cops. That`s how we live in America."					-5		0																-2																					2					-5																			2																	-5					2										
F	FNF	FN_FB_BPAT_224	"We live in times when the words â€˜freedomâ€™ and â€˜patriotismâ€™ are nothing but meaningless sounds for some of our countrymen. Itâ€™s a shame, but we canâ€™t blame our people for that. It is the Government that spreads the antipatriotic moods among Americans. They dishonor our veterans, and approve riots against the police. Until our politicians stop approving un-American acts like burning our flag or sitting during the National Anthem â€“ until that moment we wonâ€™t see the Greatness of America."				-5	-4		3						0			-4	0										0												-2																						0					0				0																														
F	FNF	FN_FB_SBORD_375	"Despite all the leftist propaganda, it is a fact that illegal aliens are not the best and brightest of humanity. Most of them have a criminal past. They lack the morals to respect our laws , they lack skills and motivation to find a job, they have no interest in contributing into society and economy. They came on their own free will and for their own benefit and they broke the law to do it. Many of them continue to commit crimes here the US. We donâ€™t need illegals in America! Sending them home and keeping them out of the country is the right thing to do! It is outrageous that today our Govt valuing illegals above US citizens and luring illegals into the country with benefits and amnesty!"						4	1								-2															-1					-1							-1											-2	0						1																				1	-1										1									
F	FNF	FN_FB_SBORD_273	"Only deportation! All illegal aliens should be deported, so we can finally start reviving our economy and our culture!"																																																					-2																																															
F	FNF	FN_FB_BPAT_182	Freedom is never granted. It is earned by each generation. God bless our soldiers!																					3																						0																			3																																						
F	FNF	FN_FB_BLACT_178	It's sad that someone makes you feel bad in 2017...																																																																																																				
F	FNF	FN_FB_BPAT_159	"Obama invites Syrian refugees into the United States and is going to provide them with cash, apartments and social security. 10,000 possible terrorists would live here better than our homeless veterans who fought for our freedoms."									-2							-6										-2			-2								-2																			2																					-6																							
F	FNF	FN_FB_SBORD_46	"There's some things that I really don't understand about our Govt policy. This is one of them. What the hell is going on?? Why we and our children treated as second class citizens, while Govt spending $ billions of our taxpayers money on illegals?? Are you outraged by this as much as I am?"														0																-2												-2																					0													-2													0											
F	FNF	FN_FB_UNMUS-70	Just some Muslim patriots praying																																																																											0								0																	
F	FNF	FN_FB_SBORD_320	"As she continues to be a positive, wonderful First Lady, the TOLERANT Left mocking her accent, trying to degrade her because Melania is an IMMIGRANT and a devoted Christian. These morons even calling her a whore. And don't forget how FAIR the mainstream media is with her! But all their stupid attacks only making me respect and admire her more."																																																										1																										1																
F	FNF	FN_FB_UNMUS-232	Like and Share if you dont blame Muslims for ISIS .																																									2																																																	2										
F	FNF	FN_FB_LGBT_45	"Sure...There stupid asf lesbien couples and gay couples should be respected because they love each other and are willing to do anything for there love not to break apart... It is NOT a choice! Do you really think people would want to be picked on, hated on, and want to be seen as unequal?... Really?!!"				-4																																																																																																
F	FNF	FN_FB_BLACT_78	They want us to get over slavery while America carries currency with images of former slave owners. They will always remind us of these things.							0																																																								0																																					
F	FNF	FN_FB_UNMUS-196	"Anousheh Ansari, the first Muslim Woman-astronaut... share if you are proud of her."																																																	0																																		0							2										
F	FNF	FN_FB_SBORD_221	"So gross to purposely use children to invade and overtake a country. But that's what refugees do - breeding like rabbits to get as much benefits for themselves as possible. Refugee resettlement is a self-perpetuating global scheme. Staff and management of the hundreds of taxpayer supported U.S. contractors are largely refugees or immigrants whose purpose is to gain entry for more refugees, usually for their co-ethnics. If we allow Obama and Hillary's having their way by enforcing illegal-loving policy on the nation, we all doomed for sure. We cannot allow this to happen!! Do you agree?"						-4			2					-4				0											-4				0	2												-4														0																													0											
F	FNF	FN_FB_LGBT_39	"I LOVE THIS! Haters cannot kill the spirit of love and pride! People are getting tattoos in remembrance of Orlando Pulse victims Hundreds had gone to their local tattoo shops over the past week to get a new ink in honor of the victims of the 12 June mass shooting in Orlando, Florida. On social media, people are displaying their new tattoos with pride. Many of the designs have a splash of rainbow colors and a heartbeat reading. Some also indicate the date of the tragedy, or feature the Pulse nightclub logo. That's so awesome!! Buuuutttt.... there are senseless acts of violence committed all the time, meaning one would need layers of tattoos to honor those we've lost. Nevertheless, this particular act of hate happened where so many people spent fun and memorable nights, because they were allowed to be themselves. I would need to get tattoos for all those countries where LGTBQ people get tortured and executed as well. And my body would be covered in ink..."				-9															-6																			-1																				2																																										
F	FNF	FN_FB_BPAT_189	"Good morning, patriots! Be proud of who you are, One Nation Under God, and never apologize for it!"																					3												3																															3											3																									
F	FNF	FN_FB_UNMUS-289	Whats your problem with my Hijab ?																																																																																																				
F	FNF	FN_FB_UNMUS-298	Then They Try to claim that Islam or Muslims oppress women ... Please Share and educate the world!																												3													-3																												-3					-3																3										
F	FNF	FN_FB_BPAT_35	"It is a banner of our History, a flag of battle glory and a symbol of freedom and rebellion. It has nothing in common with racism or slavery!"																											-2									0			-3				-2																																																									
F	FNF	FN_FB_UNMUS-19	May Allah Bless you champ !																																																																																																				
F	FNF	FN_FB_BPAT_43	"ust compare these two stages and youâ€™ll see who is really standing for America. The Democratic leaders are turning their party into an anti-American one. Just look at that â€“ they donâ€™t even try to show a bit of devotion and loyalty to America! Thatâ€™s actually not surprising: plenty of Dem voters are not actually Americans and the Old Glory is something they find offensive. Add here the fact that they preferred to invite illegals and black radicals instead of law enforcement officers. Of course, Republicans arenâ€™t perfect too, and many of them are Republicans in name only, but at least Trump stands for America while Hillary wants to continue Obamaâ€™s plan of destroying our homeland.."			0				6								-4		-1	-3												-4																				-4																0						-1													-4															
F	FNF	FN_FB_LGBT_453	"Yes, yes, we all wanna shove our lifestyles up your throat!!"																																																																																																				
F	FNF	FN_FB_LGBT_484	"This is so funny, but I think it depends on love and skill level, not gender!"																																																																																																				
F	FNF	FN_FB_BLACT_74	"An ugly truth: For the entire history of the United States of America, Black people have faced a legal system that treats them differently than other citizens."				0			2																			-1										-1	-1					0																																											0															
F	FNF	FN_FB_BPAT_254	God bless our beloved homeland!																					6																																																																															
F	FNF	FN_FB_BPAT_45	"She has blood on her hands â€” and I think she should be in prison, not running for president,â€ Dash said. Weâ€™re tired of Clintonâ€™s lies, and even more, weâ€™re outraged by all the crimes she committed. How can she say she stands for womenâ€™s rights, how can she say she stands for America after supporting Arabic countries with woman-oppressing policy and ideology? Why do her supporters still vote for her even after Benghazi attack? Why donâ€™t they think about 30,000 emails she deleted? By the way, her only excuse for that was â€œoh, you know, everybody does thatâ€. I canâ€™t believe a person like Hillary be a presidential candidate. I canâ€™t even believe she is allowed to be a politician at all!"							-1	-2										2																0															-1								2														-1																		-1											
F	FNF	FN_FB_BPAT_422	"Every man who firmly stood protecting American freedom has an absolute right for the same firm support from the government he protected. The truth is sad: that rule doesn't work in our country. Our veterans are threatened unfairly and we have to change it. We give all our devotion and honor to our heroes, the nation will never abandon our former servicemen but unfortunately that's not enough. The government has it's duties and responsibility and if it can't perform it - it must be replaced."						-2							2			-5							0										4							4			2																							2																									2									
F	FNF	FN_FB_BLACT_455	Teach your children it`s wonderful that there are so many shades of black skin.														3																																																																							3															
F	FNF	FN_FB_BLACT_22	"WHITE MAN ALLEGEDLY CALLED MISS BLACK TEXAS A â€œBLACK B**TCH.â€ SHE GOT ARRESTED. A Texas school board member, Michael Beane allegedly called Miss Black Texas a â€œblack b**châ€ then went to the Commerce Police Chief Kerry Crews, told her that Carmen Ponder ran him off the road, and got her put in jail. Crews and Beane resigned a month after they racially charged and arrested Carmen Ponder, a former Miss Black Texas. After resignation, Beane apologized for some curse words, but he also said that he has nothing else to apologize for. On May 20, Beane called the cops and told them that Ponder was driving recklessly. Then he decided to follow Ponder into Walmart parking lot where he began yelling at her and using racial slurs. When police arrived, the police chief, who was out of uniform and off-duty ordered other two uniformed cops to handcuff the woman. Ponder was taken to jail where she spent 24 hours. Later, the charges were dropped. The cellphone footage is clear. It was just anot"				-3	-2		-3													-3			-4																0									0	-2																		-4	-5																	-15															
F	FNF	FN_FB_BPAT_9	Itâ€™s simply unfair that the Government cares more about people who broke the immigration law than about heroes who served our beloved country.				1		6							-2		6																	6								4																																																												
F	FNF	FN_FB_BPAT_403	"Federal employees revel in the fact that they swindle land from private property owners at pennies on the dollar. A recently released video shows astonishing admissions of feds. â€œWe went out to the mine and the owners were two little guys that had been in the Second World War,â€ a California park service employee recalls at a retirement celebration for Mojave National Preserve Superintendent Mary Martin in 2005. The employee brags about how the veteransâ€™ mine was appraised by the federal government at $40 million, and acquired for a paltry $2.5 million. â€œWe come in, and we take this land. And we always take it for less than itâ€™s worth.â€ Feds swindle U.S. veterans out of millions of dollars. They donâ€™t feel guilt. On the contrary, they boast of what they do. The nation can't trust the federal government anymore. What a disgrace! Veterans fought for our freedoms. They deserved better! The federal government looks rather like a gang of thugs who take land away from people. I "				2									-1			-3												-3					-1											0	-3																																																							
F	FNF	FN_FB_LGBT_1	"It really doesn't matter! You know who you are, not society!"																																																																																																				
F	FNF	FN_FB_BLACT_226	"The BLM movement began as a call to end violence, while KKK was formed to start a race war. Yes, the KKK should have been eradicated decades ago."																																													-7																																																							
F	FNF	FN_FB_SBORD_279	"In 2010, President Barack Obama pledged to eliminate veteran homelessness across America, a noble goal that all Americans surely support. But like many other promises that he broke, outgoing president failed to achieve his goal, and Americaâ€™s veterans still suffer to this day - neglected, discriminated, abandoned by their own Government. Instead, Obama preferred to take in more refugees from Somali, Syria, Iraq etc. As of today, Inauguration Day, the Obama Admin has admitted 29,895 refugees from terrorist states. This is unacceptable! Veterans should come first . They put their lives on the line to defend us all. Before a dollar is spent on a refugee or an illegal alien our veterans need to have a home. Our vets deserve better! Yet under Obamaâ€™s policies, this country served a bunch of foreigners instead of caring for our vets! Obama should be court-martialed and imprisoned for his crimes against our military! I hope President Trump will change this awful state of affairs to the be"			-1			3	0	-4	-15		-2		-8			-17	0			-13	2					-5			-7						-2													0						-4																																														
F	FNF	FN_FB_SBORD_460	"Despite its name, on the Day without immigrants nationwide paid protests there were crowds and crowds of illegals on the streets of major cities. And you know, I realized that I can live without them not just for one day, but for the rest of my whole damn life. These â€œImmigrantsâ€ were protesting against â€œhateâ€, â€œfascismâ€, â€œdiscrimination and deportationâ€. They demanded equal rights with American citizens while waving Mexican flags. They claimed that the only good thing happened to our country is their arrival on the American soil. Because theyâ€™re such honest hardworking folks all they do is helping our economy grow. Yeah right. Then WHY DONâ€™T YOU GO BACK & HELP YOUR OWN COUNTRIES ECONOMY? What the hell!! If these illegals were marched like that in Mexico, I bet local authorities would arrest them and deport them in a minute, or worse! They chanted, â€œwe refuse to accept Trumpâ€™s fascist Americaâ€. If you don't like it so much in here in America, if you refuse to "						-8	-5	-4							-4					-4										0	-2											0				-2											0									0														2											0									
F	FNF	FN_FB_BLACT_333	Break the stereotypes. Show everybody what goals should be. Make your community be proud.																																																																																																				
F	FNF	FN_FB_BPAT_52	Our veterans did more than just giving a part of their lives to serve their homeland. They have made a contribution to the very freedom of America.							0									0																											0					0																																																	0			
F	FNF	FN_FB_BLACT_407	"VIDEO: BLACK FEMALE LIFTED OFF FEET BY DC POLICE OFFICER An unidentified male police officer was caught on the 45-second video holding a black pedestrian up against a police cruiser with her feet dangling in the air. According to one of the bystanders, police officer at an intersection near Howard University grabbed onto the woman carrying books without saying anything to her and held her against a police cruiser while her sneakers dangle above the ground. Unfortunately, there are no details on the name and age of the female and the officers involved. However, the publication of the video comes at a time when black people speak out on the police violence. In America, the police union gives police officers permission to treat minorities like they are not human beings. America has seen dozens of rallies against systematic police brutality and injustices. Hundreds of black people have been killed by police and they aren`t held accountable for the violence. It turns out racism and police v"				-16	-29		-3						-6						-4																									-2			-2		-2	4																																			-18															
F	FNF	FN_FB_SBORD_305	"Seeing firsthand the effects of illegal aliens (yes, that's what they are) in the county where I live - Illegal drugs, weapons, human smuggling brought in by Latino gangs. And that's just 1 county 1 state, so just imagine the problem multiplied that is brought in this country! And I almost forgot the tropical diseases brought in by illegals, not to mention diseases we wiped out over 70 yrs ago like polio, measles, etc. because these illegals are NOT vaccinated for them in their countries. Also, these people BREAK our laws to get in here & yet they are rewarded! Last but not least, THEY demanded & got everything printed in two languages - English & Spanish on everything from cereal boxes to documents from local, state & federal governments. I for one support the wall, because right now, as I type this, there are over 20 MILLION illegals roaming my country and the government has â€˜NO IDEAâ€™ where they are! Obama, youâ€™re such a traitorous, disgusting, pathetic POS. Iâ€™m counting days"				0		-3			-12	1	-2		0																	-6																							-2		-3																										3							2			2									
F	FNF	FN_FB_BLACT_334	18-year-old Alicia Aylies won the Miss France 2017 and will represent the country at the Miss Universe pageant in 2018.						-4																																													-2																																																	
F	FNF	FN_FB_BPAT_184	"Her attitude to Americans is absolutely unforgiveable. Even the most sacred things mean nothing to her. Four of our citizens have given their lives away, and she simply doesnâ€™t care about them. She doesnâ€™t care about a national tragedy, is that even real we can have a President with such a low morality?"								-5									0																						0			0						2											1				0																																					
F	FNF	FN_FB_BLACT_9	"PLEASE HELP THIS VIDEO GO VIRAL. POLICE OFFICERS USED TASER ON DISABLED BLACK WOMAN FOR FILMING DAUGHTER`S ARREST Harris County, TX police officers allegedly deployed a Taser against a 36-year-old black woman in a wheelchair for recording her daughter`s arrest. Police officers needlessly attacked disabled woman for exercising her constitutional rights. And instead of treating her like a human being, cops can be seen treating her like an animal. Police literally grabbed her cellphone and threw it away before tasing her until she collapsed out of her wheelchair. When Sheketha Holman discovered her daughter was under arrest for marijuana possession and criminal mischief, she immediately arrived at a Valero gas station in Houston to find out what happened and to film the arrest. However, police asked her to leave the property. The video shows a deputy snatching the phone out of non-threatening Holman before tossing it away. Seconds later, Holman appeared on the ground after a deputy tased "				0	-17										-7				-4																									-3					-11	-18	-4						-5											4				0													-6															
F	FNF	FN_FB_BPAT_161	Hillary Clinton supposes that white terrorisms and extremism is as much a threat to some in this country as something like ISISâ€ and condemns racists in police. Clinton never loses a single occasion to insult or mock our police. She has been multiply caught calling our heroes in blue â€œtrained pigsâ€ and â€œwhite racistsâ€. How can she now say she mourns about officers who were killed last night? Nothing but another lies and more hypocricy.					-8	-5												-3				-9																	-3	3										-7																						-5																												
F	FNF	FN_FB_LGBT_31	A little schedule for every day of Prideâ€™s month!																				1																																																																																
F	FNF	FN_FB_UNMUS-369	MUSLIMS ARE THE VICTIMS OF TERRORISM !!!																																									-7																																																											
F	FNF	FN_FB_BPAT_485	Never forget our heroes and our brothers currently deployed fighting to protect each and everyone's rights and freedoms.																																								0																	-3																																					0						
F	FNF	FN_FB_UNMUS-363	Like and share if you are too!																																																																																										3										
F	FNF	FN_FB_BPAT_288	"Good morning, patriots! Itâ€™s so great to know that today weâ€™re entering a brand new era! America has finally woken up from the liberal nightmare! God bless President Trump!"			3				-4	3													3														4			1																										3											3																									
F	FNF	FN_FB_BPAT_84	Those who sacrifice their lives to save their country deserve an immortality in their nation's hearts and minds. Those who survive protecting their people deserve a safe and well-fixed home they can return to.				2		2																											0															2						2																																														
F	FNF	FN_FB_BPAT_319	With all the violence coming from radical leftists our country would be literally ruined if our brave cops didnâ€™t stop the riots. God bless our cops protecting our lives every day!						-5														3	3																											3																				4																																
F	FNF	FN_FB_UNMUS-39	Muslim-Americans fear U.S. government more than ISIS !!													1				-4																																																																		-4																	
F	FNF	FN_FB_UNMUS-310	Ø¥Ø°Ø§ ÙƒØ§Ù† Ø§Ù„Ù…Ø³Ù„Ù…ÙŠÙ† Ø§Ø±Ù‡Ø§Ø¨ÙŠÙŠÙ† ... ÙÙ…Ù† Ø§Ù„Ø°ÙŠÙ† Ø£Ø±Ù‡Ø¨ÙˆØ§ Ù‡Ø°Ø§ Ø§Ù„Ø·ÙÙ„ Ø§Ù„Ø³ÙˆØ±ÙŠ Ø§Ù„Ù…Ø³Ù„Ù… ÙˆØ§Ø¬Ø¨Ø± ÙˆØ§Ù„Ø¯Ø§Ù‡ Ø¥Ù„Ù‰ Ø§Ù„ÙØ±Ø§Ø± Ù…Ù† Ø¨Ù„Ø¯Ù‡Ù…ØŸØŸØŸØŸØŸØŸØŸØŸ																																																																																																				
F	FNF	FN_FB_SBORD_389	"Liberal agenda ideologists spent the last decades dumbing down college kids so that now they are too incompetent to do anything more than cling to illusion of safety, get offended by everything, whine, scream and protest. The lack of discipline in order to avoid hurting their feelings resulted pretty damn badly. These liberal snowflakes thinking everybody owes them something for nothing. Kids today don't have a clue how easy they got it all, and they're still bitching, pardon my language. They are unable to use logic anymore, as well as they're unable to understand that they protesting not against hate but against reason. They protesting against democratic process. And other kids, those who were raised in ghetto without any supervision or care, these are don't know any better. So they are getting a job to be a protester because some leftist organization hired them, calling it a way to build the living wage movement (whatever that means). Either way, we all witness the outcome these day"																																		-2	0				0																				0												-7	0																												
F	FNF	FN_FB_LGBT_90	Haha I'm on standBI! ðŸ˜”																																																																																																				
F	FNF	FN_FB_UNMUS-442	"City hall, #Baltimore #Maryland!!! SHARE IF YOU LOVE IT :)"																																																																															1											5										
F	FNF	FN_FB_SBORD_431	"Dems constantly accuse conservatives/Republicans of racism. How about some reality check, fellas? Republicans are the ones who freed the slaves, not Dems. Democrats promoted the KKK. Now Dems and the left support barbaric religious laws, which is extremely anti-American IMHO. Democrats were hypocrites and racists back then and they remain the same today. â€œRepublicanism means Negro equality, while the Democratic Party means that the white man is supreme.â€ -Democratic U.S. Senator Ben Tillman in 1906, future Chairman of the Committee on Naval Affairs."																							3												-2																															-1															-1																			
F	FNF	FN_FB_BPAT_162	"The identity of the officer killed today in Colorado Springs has been confirmed by the University of Colorado-Colorado Springs as UCCS police officer Garrett Swasey, 44. He was killed by the suspect of the Planned Parenthood shootings as he responded to the scene shortly before noon. He was killed in the line of duty, leaving behind a family including wife Rachel Swasey (nee' Aguilar), and 2 young children. Daughter Faith is 6, and his son Elijah is 10. Elijah will be turning 11 in a few days. Officer Swasey was a six-year veteran of the UCCS Police Department. UCCS officers are sworn, state-certified police officers. Swasey died running into an active shooter call to save others. We mourn the loss of a brave police officer."					-3						0			0																					-4												-7			0	0	-6																																																
F	FNF	FN_FB_BLACT_498	"On this day, a bomb explodes during Sunday morning services in the 16th Street Baptist Church in Birmingham, Alabama, killing four young black schoolgirls. The church bombing was the third in Birmingham in 11 days. Fifteen sticks of dynamite were planted in the church basement, underneath what turned out to be the girl`s restroom. The bomb killed Cynthia Wesley, Carole Robertson and Addie Mae Collinsâ€“all 14 years oldâ€“and 11-year-old Denise McNair. KKK member, Robert Chambliss, was charged with murder and received a six-month jail sentence. Remember your history."																				-4					0											0															0													-4																					-2															
F	FNF	FN_FB_LGBT_319	I don't remember in the Constitution where it says all are created equal except for LGBT... This kid is having a hard enough time with coming to terms with who they are. I think she officially deserves the status of mom.I'm sad to see that family destroyed because of the fathers ignorance. But it's awesome the stepmother wasn't taking his shit. She proved she was more than just a step-mother. She's a MOM! And We need more parents like you and this woman in the world!																			0									3																					3			-10																										3																						
F	FNF	FN_FB_SBORD_237	"Oh my, this is so f brilliant. I laughed so hard I think I died couple of times!"																																																													3																																							
F	FNF	FN_FB_BPAT_25	We owe our veterans who protected our freedom and made America the worldâ€™s greatest country. God bless them all!						3	1									-2					3																						1																																																									
F	FNF	FN_FB_BPAT_75	"So many people get â€˜offendedâ€™ by the American flag and American culture. Yet none of them is offended by American benefits and all the privileges we have living in our wonderful country. Donâ€™t these flag-haters know that hundreds of thousands of Americans have died in the name of this flag? It became so popular, so disgustingly common to insult the Old Glory, but none of the flag insulters remember that without this flag there would be no freedom. Without the American flag there would be no America."				0		5	0										-4										-8																-3																	2						-1																																	-4	
F	FNF	FN_FB_SBORD_16	Do you agree that illegal aliens are ruining America?							-4																																														-4																																															
F	FNF	FN_FB_BPAT_430	"Good morning, America! We are One Nation under God and One Nation under Old Glory. Our sacred flag unites us and we will always keep it flying."							3														2						0						2																															3																																				
F	FNF	FN_FB_BPAT_414	"In this photo a police officer salutes runner Tim Muessig as he carries the American Flag during the Old Glory Cross Country Flag Relay, which helps raise money for veterans. When politicians donâ€™t care about our heroes, true patriots try to help veterans in the best possible manner. Thank you my fellow patriots! You make the United States better!"					0	0										9										1	0										1			9							0												7							0				7					12	0																								
F	FNF	FN_FB_BLACT_291	repost @black_positive_vibes																																																																																																				
F	FNF	FN_FB_BLACT_155	SHOCKING! This video footage shows NYPD cop pulling a gun on a black man as he films him. Thank God the man wasn't killed.																					-2		-4																					-2																																									-2															
F	FNF	FN_FB_BPAT_226	Good morning dear patriots! There is nothing more important that our freedom. GOD BLESS AMERICA!							3														3																		0				0																					5											5																									
F	FNF	FN_FB_BLACT_426	No excuses for this. #BlackLivesMatter																																																																																																				
F	FNF	FN_FB_BPAT_15	Immigrants who come to this country for opportunities and better life should show some respect to the United States before enjoying all the benefits of the American society. Not standing up during the national anthem is a good enough reason to deport anti-American newcomers. Like if you agree!						2																				5					5						5									0														5						5																																		
F	FNF	FN_FB_LGBT_304	That is so AWESOME!! Hope you have many more happy years together... ðŸ’ž																									5																																																																											
F	FNF	FN_FB_SBORD_471	I agree with Sheriff Clarke. ISIS terrorists cannot be negotiated with. It's kill or be killed. No other way around.																																		0																																											-3																							
F	FNF	FN_FB_BLACT_388	Some historians will never teach the true great history because to do so they would then have to admit that they interrupted that great history. We have been miseducated.																																				6																																																																
F	FNF	FN_FB_UNMUS-77	"Hillary Clinton Slams Donald Trumpâ€™s Anti-Muslim Rhetoric as â€˜Shameful, Offensive, Dangerousâ€™ (SHARE)"										-2								-2				-2																																																													-7							-5										
F	FNF	FN_FB_LGBT_311	Be the hero you want yourself to be!																																																																																																				
F	FNF	FN_FB_BLACT_445	"The KKK employed violence to obtain their objectives, in fact, this racial hate group was committed to maintain the status of white supremacy and suppress the activities of people of color. In contrast, the Black Panthers` goal was to elevate the oppressed black Americans and overthrow the racist political system."				1													-7																																																																				-7															
F	FNF	FN_FB_SBORD_121	"3,000 U.S citizens killed each year by illegal immigrant drivers (according to report by Americans for Legal Immigration Political Action Committee). Not only were illegal alien drivers killing people in numbers only exceeded by drunk drivers, but many times they were barely being punished and many times faced no charges at all! Letting these illegals cross without screening & AWARDING them with driverâ€™s licenses threaten to lives of Americans, their family and their loved ones! A better solution is a repeal of current policy allowing illegals to receive drivers licenses, as well as enforcing existing immigration law to the point that people are no longer encouraged to enter and remain in the U.S. illegally. Do you agree?"				-6								0			2		0													-4		0										-6						2			-6	2									-7																												-2											
F	FNF	FN_FB_UNMUS-450	"ISIS are hijacking Islam , murdering Muslims more than non-Muslims ... so they can fight Islam both ways direct and indirect !"																																									-6																																	-10																										
F	FNF	FN_FB_BPAT_222	"The list could be added. Be a citizen of the United States, pay taxes, fight for your country. Until the Obamaâ€™s presidency is over, weâ€™re up to live in an insane world, where doing the right things does not bring you any advantage while braking the laws make you a person to care for."						-5																				-5		-2									-5																						2				-2																		2										-2									
F	FNF	FN_FB_SBORD_145	"Guess what friends? Another Illegal got caught on voter fraud. Mexican national caught illegally voting FIVE times In Texas. Life in America continues to get even sweeter for illegals. If youâ€™re from another country and donâ€™t like the way things are run here, just enter the country illegally and vote to change it! A Grand Prairie woman who is NOT an American citizen was arrested on charges she voted illegally in Dallas County, prosecutors said. Rosa Maria Ortega, 35, was booked into the Tarrant County Jail and was being held on $10,000 bond. Ortega is married to an American and is living legally in this country, but is not a citizen and therefore, not qualified to vote. I'm so outraged bu this crap. They are illegal, not citizens, border jumpers, whatever you want to call them=Not US Citizens. Only citizens should be allowed to vote!!"						3	0																	-2						0	0			2								-1							0												0		2			0																																		
F	FNF	FN_FB_UNMUS-317	"Share, show the world who the real Muslims are !!"																												1													1																																																	1										
F	FNF	FN_FB_UNMUS-5	Share if you believe Muslims have nothing to do with 9/11. Let's see how many people know the truth !				3																																			0		0																																																	0										
F	FNF	FN_FB_UNMUS-31	The mainstream media doesn't use good examples of Muslims but ONLY negative examples and all of a sudden all Muslims are villains and Islam is to blame.																																									-5																	0																-5																										
F	FNF	FN_FB_BLACT_382	I am fed up with this nonsense on this so-called the land of the free...																																																																																																				
F	FNF	FN_FB_BLACT_217	repost Black Women Are Poppin																																																																					0																0															
F	FNF	FN_FB_BPAT_130	"Good morning, Americans! Praise the Old Glory, our sacred flag carried through thousand battles, forging the spirit of America and representing the freedom itself. God bless our flag and God bless you, patriots!"							-2										3				5						8																-2																					3											5																									
F	FNF	FN_FB_UNMUS-318	ISIS Represent ONLY themselves!																																																																																																				
F	FNF	FN_FB_BPAT_321	It drives me so mad that liberals think the First Amendment only works when they want it!																																																																																																-2				
F	FNF	FN_FB_LGBT_26	I'd ask him when he was gonna start his Youtube channel and start showing people how to do their make up right cause that shit is on point!				-2																																																																																							-3									
F	FNF	FN_FB_BPAT_204	"Banning all flags, including the Old Glory, in American schools makes me feel deeply indignant! If the U.S. flag offends you, get out of my country!"						-4																					-4																																							3																																		
F	FNF	FN_FB_SBORD_383	"One in three, i.e. 33% of all American welfare recipients reside in California. Almost a quarter of the state population lives below or near the poverty line. Yet the stateâ€™s gas and electricity prices are among the nationâ€™s highest. At least 25% state residents were not born in the U.S. California is also home to the largest number of illegals in the U.S. Sanctuary state where stuff is free for all! All who wasnâ€™t born in the U.S., obviously. Some f#cked up socialist utopia. All in all, leftist policies of Governor Jerry Brown did not make any good for the Golden State. That's what happens when you elect a commie moonbat as your governor. If moonbeam sticks with his plans to continue the sanctuary policies and Trump admin cuts funding, California will be headed for bankruptcy real quick. Sad but true."			-3								1																			0																		-2						0												0																											0							
F	FNF	FN_FB_UNMUS-140	"This is Islam teachings, This is true Islam !"																																																																										3																										
F	FNF	FN_FB_LGBT_214	"Come out, come out, wherever you are!â¤ï¸"																																																																																																				
F	FNF	FN_FB_BPAT_486	We owe our military heroes for their service. Their sacrifice is the price of our freedom!																																								1			1																																																									
